id,from,to,priority,type,shape,name,spreadType
-142575688#4,1292264947,1560223979,4,highway.unclassified,"[863.7, 692.86]",Kekuléstraße,
-142575688#5,1292264824,1292264947,4,highway.unclassified,"[892.12, 659.99]",Kekuléstraße,
-142575688#6,1560223734,1292264824,4,highway.unclassified,"[901.04, 678.96]",Kekuléstraße,
-142575689,38919594,1560224485,4,highway.unclassified,"[1167.3, 578.37]",Kroneckerstraße,
-142575690#0,38919880,1560223943,4,highway.unclassified,"[1155.05, 568.54]",Ludwig-Boltzmann-Straße,
-142575690#2,607638014,283018845,4,highway.unclassified,"[1126.4, 546.69]",Ludwig-Boltzmann-Straße,
-142575690#4,1370020156,1568241558,4,highway.unclassified,"[1001.01, 534.82]",Ludwig-Boltzmann-Straße,
-142575690#5,1560224141,1370020156,4,highway.unclassified,"[1005.96, 532.01]",Ludwig-Boltzmann-Straße,
-142575691#0,1560223979,1560224076,4,highway.unclassified,"[1076.86, 510.39]",Magnusstraße,
-142575691#1,1292264930,1560223979,4,highway.unclassified,"[1074.4, 477.64]",Magnusstraße,
-142575691#2,350553969,1292264930,4,highway.unclassified,"[924.23, 562.05]",Magnusstraße,
-142575694#0,7496187605,1560223984,4,highway.unclassified,"[962.55, 585.57]",Max-Planck-Straße,
-142575694#1,5579116845,7496187605,4,highway.unclassified,"[974.08, 574.67]",Max-Planck-Straße,
-142575694#2,1560223728,5579116845,4,highway.unclassified,"[985.05, 550.58]",Max-Planck-Straße,
-142575695,6275106349,10244464034,4,highway.unclassified,"[652.16, 600.11]",Moriz-Seeler-Straße,
-142575699#0,2007005081,1560223484,3,highway.residential,"[638.49, 601.76]",North-Willys-Straße,
-142575699#2,2007005091,1560223591,3,highway.residential,"[873.45, 567.37]",North-Willys-Straße,
-142575699#3,cluster_1560223721_1560223744,2007005091,3,highway.residential,"[870.3, 571.16]",North-Willys-Straße,
-142575700#0,6366040044,cluster_1652675118_9662624333,3,highway.residential,"[891.16, 546.12]",Pfarrer-Goosmann-Straße,
-142575700#1,6366040047,6366040044,3,highway.residential,"[885.28, 553.17]",Pfarrer-Goosmann-Straße,
-142575700#2,6355294415,6366040047,3,highway.residential,"[864.02, 578.7]",Pfarrer-Goosmann-Straße,
-142575700#4,837697549,6780568082,3,highway.residential,"[858.78, 583.96]",Pfarrer-Goosmann-Straße,
-142575700#5,1560225398,837697549,3,highway.residential,"[849.6, 594.08]",Pfarrer-Goosmann-Straße,
-142575701#0,5383645778,cluster_1560225011_38918531,2,highway.living_street,"[840.31, 604.6]",Rumplerzeile,
-142575701#1,671564384,5383645778,2,highway.living_street,"[786.48, 568.73]",Rumplerzeile,
-142575704#0,1560224207,1560224383,4,highway.unclassified,"[709.95, 657.86]",Volmerstraße,
-142575704#1,1560223984,1560224207,4,highway.unclassified,"[869.34, 654.31]",Volmerstraße,
-142575704#10,1560223353,1560223464,4,highway.unclassified,"[838.98, 628.45]",Volmerstraße,
-142575704#12,cluster_1560223254_7865664393,1560223298,4,highway.unclassified,"[1199.87, 524.16]",Volmerstraße,
-142575704#2,cluster_5564705592_5564705597,1560223984,4,highway.unclassified,"[1200.74, 525.38]",Volmerstraße,
-142575704#4,1560223826,cluster_5564705592_5564705597,4,highway.unclassified,"[850.42, 1887.11]",Volmerstraße,
-142575704#5,cluster_1560223704_5548037056,1560223826,4,highway.unclassified,"[913.22, 1943.85]",Volmerstraße,
-142575704#7,1560223636,cluster_1560223704_5548037056,4,highway.unclassified,"[683.84, 1736.66]",Volmerstraße,
-142575704#8,1560223541,1560223636,4,highway.unclassified,"[691.22, 1742.39]",Volmerstraße,
-142575708#0,5543924092,1560224482,1,highway.service,"[719.49, 1768.15]",Walther-Nernst-Straße,
